subject,prisma_id,fmap1_1,fmap1_2,epi1,fmap2_1,fmap2_2,epi2,t1
5,21842,10,11,13,23,24,25,nan
6,21858,10,11,12,22,23,24,25
7,21911,10,11,12,22,23,24,25
8,21926,10,11,12,22,23,24,25
9,21984,10,11,12,22,23,24,25
10,21996,10,11,12,22,23,24,25
11,22000,10,11,12,22,23,24,25
12,22001,10,11,12,22,23,24,25
13,22021,10,11,12,22,23,24,nan
14,22031,10,11,12,22,23,24,25
15,22038,10,11,12,22,23,24,25
16,22039,10,11,12,22,23,24,nan
17,22040,10,11,12,22,23,24,25
18,22060,10,11,12,22,23,24,25
19,22061,10,11,12,22,23,24,25
20,22063,14,15,16,26,27,28,29
21,22072,10,11,12,22,23,24,25
22,22073,10,11,12,22,23,24,25
23,22075,10,11,12,22,23,24,25
24,22076,10,11,12,22,23,24,25
25,22077,10,11,12,22,23,24,25
26,22078,10,11,12,22,23,24,25
27,22079,10,11,12,22,23,24,25
28,22080,10,11,12,22,23,24,25
29,22091,10,11,12,22,23,24,25
30,22092,10,11,12,22,23,24,25
31,22094,10,11,12,22,23,24,25
32,22095,10,11,12,22,23,24,25
33,22096,10,11,12,22,23,24,25
34,22097,10,11,12,22,23,24,25
35,22098,10,11,12,22,23,24,25
36,22099,10,11,12,22,23,24,25
37,22113,10,11,12,22,23,24,25
38,22114,10,11,12,22,23,24,25
39,22141,10,11,12,22,23,24,25
40,22142,10,11,12,22,23,24,25
41,22143,10,11,12,22,23,24,25
42,22144,10,11,12,22,23,24,25
43,22145,10,11,12,22,23,24,25
44,22146,10,11,12,22,23,24,25
45,22158,10,11,12,22,23,24,25
46,22159,10,11,12,22,23,24,25
47,22160,10,11,12,22,23,24,25
48,22161,10,11,12,22,23,24,25
49,22176,10,11,12,22,23,24,25
50,22177,10,11,12,22,23,24,25
51,22178,10,11,12,22,23,24,25
52,22179,10,11,12,22,23,24,25
53,22180,10,11,12,22,23,24,25
